name,address,lat,lng,rating,userRatingCount,priceLevel,website
Carnitas Don Willy,"Calz. Gobernador Salvador Sánchez Colín 32, Ahuizotla, 53378 Naucalpan de Juárez, Méx., Mexico",19.4684771,-99.2112392,4.6,36.0,,
Mi Pueblito,"San Juan de Aragón, 07950 Mexico City, CDMX, Mexico",19.47105,-99.0862159,4.6,36.0,,
Tacos danis,"Manzana 010, Villa de Gpe Xal, 55339 Ecatepec de Morelos, Méx., Mexico",19.5193393,-99.0649314,4.6,36.0,,
Tacos De Guisado,"Av Emiliano Zapata 38, División del Nte., 54190 Tlalnepantla, Méx., Mexico",19.5185948,-99.0905652,4.8,36.0,,
Tacos,"Camino Sta. Teresa 689, Parques del Pedregal, Tlalpan, 14010 Ciudad de México, CDMX, Mexico",19.2967983,-99.192162,4.5,36.0,,
Taco Beef,"Magdalena de las Salinas, Gustavo A. Madero, 07760 Ciudad de México, CDMX, Mexico",19.485657,-99.1300876,3.4,36.0,,https://www.restaurantesbeef.com/taco.html
QUESADILLAS OFE Y TACOS JUAN,"Ote. 85 3214, Mártires de Río Blanco, Gustavo A. Madero, 07880 Ciudad de México, CDMX, Mexico",19.4575201,-99.112484,4.8,36.0,,
TACOS FELIX,"C. Sur 128 49-55, Cove, Álvaro Obregón, 01120 Ciudad de México, CDMX, Mexico",19.3994717,-99.2021014,4.9,36.0,,
Tacos de Don Braulio,"San Francisco 55B, San Francisco Culhuacan, San Francisco Culhuacan de San Francisco, Coyoacán, 04260 Ciudad de México, CDMX, Mexico",19.3372244,-99.115409,4.7,36.0,,
Taco Beef,"C. Sonora 2, Internacional Benito Juárez, Venustiano Carranza, 15620 Ciudad de México, CDMX, Mexico",19.433266,-99.0862353,2.0,36.0,,
Tacos Y Sopes Tencha,"1BIS Centro 06000, C. de la Academia, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 08500 Ciudad de México, CDMX, Mexico",19.4331615,-99.1290069,4.6,36.0,,
Las delicias tacos al carbón,"Camelia número 131, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico",19.4466637,-99.1440454,4.4,36.0,,
Tacos Moreno,"Las Peñas, Iztapalapa, 09750 Ciudad de México, CDMX, Mexico",19.3348379,-99.0536599,4.7,36.0,,
Tacos la lupita,"C. Concepción Beistegui 11, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",19.3909918,-99.1728628,4.1,35.0,,
"Tacos""Insurgentes""","09700, Sta Cruz Meyehualco, Iztapalapa, 09700 Ciudad de México, CDMX, Mexico",19.3354545,-99.0367621,4.2,35.0,,
Taqueria Rodriguez,"Canal Houston, Insurgentes, Iztapalapa, 09750 Ciudad de México, CDMX, Mexico",19.3297319,-99.0546183,4.6,35.0,,https://www.facebook.com/profile.php?id=100063474222063
Tacos el guero de a varo,"Eje 5 Ote 630, Leyes de Reforma 3ra Secc, Iztapalapa, 09040 Ciudad de México, CDMX, Mexico",19.3827947,-99.0763392,3.7,35.0,PRICE_LEVEL_INEXPENSIVE,
Tacos El Pariente,"09578, Eje 5 Sur 1300, Ejército de Agua Prieta, Iztapalapa, 09578 Ciudad de México, CDMX, Mexico",19.3663364,-99.0387546,3.9,35.0,,
Pancho Birria,"Avenida Prado Norte 431-D, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",19.4274847,-99.2115998,4.6,35.0,,
Tacos De Pedro,"Mieres 49, Cerro de la Estrella, Iztapalapa, 09860 Ciudad de México, CDMX, Mexico",19.3204584,-99.0790404,4.7,35.0,,
La abuela,"Cine Mexicano 5, Lomas Estrella 2da Secc, Iztapalapa, 09890 Ciudad de México, CDMX, Mexico",19.3174452,-99.0908211,4.5,35.0,,
Tacos de gisado La Hidalguense,"San Rafael Atlixco 3993, Santa Ana Nte., Tláhuac, 13310 Ciudad de México, CDMX, Mexico",19.3030654,-99.0371825,4.7,35.0,,
tacos y cortes al carbon,"C. Nautla 75, San Juan Xalpa, Iztapalapa, 09850 Ciudad de México, CDMX, Mexico",19.3351207,-99.0835695,4.1,35.0,,
Tacos al Carbón Alebrijes,"Pablo L. Rivas Martínez, Escuadrón 201, Iztapalapa, 09060 Ciudad de México, CDMX, Mexico",19.3607901,-99.1136636,4.6,35.0,,
Los Trompitos de Sirloin,"Municipio Libre 174, Portales Nte, Benito Juárez, 03303 Ciudad de México, CDMX, Mexico",19.3694736,-99.151994,4.6,35.0,,http://lostrompitosdesirloin.com.mx/
Tacos Jaime,"Puebla 173, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.4223637,-99.1629365,4.7,34.0,,
Ricos Tacos Del 11,"Sierra Madre Oriental 11, La Pradera I, Pradera II Secc, Gustavo A. Madero, 07509 Ciudad de México, CDMX, Mexico",19.4752132,-99.0644295,4.8,34.0,,
Tacos KATALAN,"Ermita Iztapalapa 595, entre Centeno y Maíz, Granjas Esmeralda, Iztapalapa, 09810 Ciudad de México, CDMX, Mexico",19.3567951,-99.1157438,4.1,34.0,,http://tacoskatalan.mex.tl/
El Pastorcito Suizo,"Cam. a Sta. Fe 291BIS, La Conchita, Álvaro Obregón, 01109 Ciudad de México, CDMX, Mexico",19.3905088,-99.2073074,4.5,34.0,,
Restaurante/Taquería Taco Keto,"C. Azores 597, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico",19.3673764,-99.154872,4.3,34.0,,
"Taqueria ""Los Abuelos""","Villa Angela, Desarrollo Urbano Quetzalcóatl, Iztapalapa, 09700 Ciudad de México, CDMX, Mexico",19.3361662,-99.039719,4.5,34.0,,
Antojitos Mexicanos Copacabana,"Av Toluca 181, Lomas de San Ángel Inn, Álvaro Obregón, 01780 Ciudad de México, CDMX, Mexico",19.3411168,-99.2083053,3.4,34.0,,http://www.taqueriascopacabana.com/
Jovitacos,"Morelos 11, Tizapán San Ángel, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX, Mexico",19.3437892,-99.1998772,4.0,34.0,,
Taquería la Pasadita,"C. Dr. Enrique González Martínez 120, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",19.447114,-99.1555745,4.5,34.0,,
Tacos El Borbolla,"Padre Hidalgo 216, Olivar del Conde 1ra Secc, Álvaro Obregón, 01410 Ciudad de México, CDMX, Mexico",19.3759116,-99.2103921,4.1,34.0,,
Tacos de canasta Vicky,"Calz. San Sebastián 117, Sta Maria Maninalco, Azcapotzalco, 02050 Ciudad de México, CDMX, Mexico",19.4805563,-99.179904,4.6,34.0,,
Antojitos Mexicanos La Hidalguense,"Jose Joaquin Herrera M 7 Lt 15, Presidentes de México, Iztapalapa, 09740 Ciudad de México, CDMX, Mexico",19.3360521,-99.0622136,4.4,34.0,,https://www.facebook.com/Antojitos-Mexicanos-La-Hidalguense-101774731743777/
"Ricos Tacos ""Vale""","Cda. Morelos, Valle de Luces 3ra Secc, Iztapalapa, 09800 Ciudad de México, CDMX, Mexico",19.3373973,-99.0954022,4.5,33.0,,
El Mandilón Foodtruck,"Jalapa 73 bis colonia Progreso Tizapan Del, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX, Mexico",19.3408518,-99.2062483,4.2,33.0,,
Wachii Tacos,"Atepehuacan, San Bartolo Atepehuacan, Gustavo A. Madero, 07730 Ciudad de México, CDMX, Mexico",19.4967833,-99.1469639,4.5,33.0,,
Tacos borrachemos,"Good Year Oxo 64, 54080 Vista Hermosa, Méx., Mexico",19.514524,-99.223809,4.6,33.0,,
Antojitos Mexicanos la Güera,"Av 604 60-1 esquina 603, San Juan dé Aragón 3ra sección, San Juan de Aragón III Secc, Gustavo A. Madero, 07970 Ciudad de México, CDMX, Mexico",19.4504528,-99.0696971,4.7,33.0,,
Tacos San Francisco,"Av. Emiliano zapata Mz 147, Iztaccihuatl Esquina-lt 1, Florida, Álvaro Obregón, 09900 Ciudad de México, CDMX, Mexico",19.3600793,-99.1778875,4.2,33.0,,
Tortas y tacos - Jalisco,"Av Valle del Jucar 7, Valle de Aragon 3ra Secc, 55280 Ecatepec de Morelos, Méx., Mexico",19.5075136,-99.0429657,3.2,33.0,,
Tacos de cochinita,"Av. Ejército Nacional Mexicano 880, Polanco, Polanco II Secc, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico",19.4382378,-99.2034125,4.6,33.0,,
Canastakis tacos de canasta,"Cañada 71A, Ampliacion Los Alpes, Álvaro Obregón, 01010 Ciudad de México, CDMX, Mexico",19.3581969,-99.2094639,4.9,33.0,,
La PIBIL Coyoacan,"Av. H. Escuela Naval Militar 596, Coapa, Presidentes Ejidales 2da Secc, Coyoacán, 04470 Ciudad de México, CDMX, Mexico",19.3286179,-99.1242252,2.1,32.0,,
el ke-taco (mi dogor),"Galicia 433, De Chap, Niños Héroes, Benito Juárez, 03440 Ciudad de México, CDMX, Mexico",19.3887636,-99.1461164,4.7,32.0,,https://www.idbicloud.com/elketaco/
"Tacos ""El Pilon""","Av Cultura Griega Manzana 031, Rosario 1 Sector II CD, 54090 Tlalnepantla, Méx., Mexico",19.5149163,-99.1971372,4.4,32.0,,
Quesadillas Lupita,"C. Olivar 6, Progreso, Álvaro Obregón, 01080 Ciudad de México, CDMX, Mexico",19.339062,-99.2063703,4.7,32.0,,
Tacos. Los tres hermanos,"Av. 12 203, Ignacio Zaragoza, Venustiano Carranza, 15000 Ciudad de México, CDMX, Mexico",19.409886300000004,-99.0901244,4.7,32.0,,
Tacos el primo,"Constitución de Apatzingán esquina con, Aldama, Ejército Constitucionalista I II y III, Iztapalapa, 09220 Ciudad de México, CDMX, Mexico",19.386952,-99.0552332,3.8,32.0,,
"Taquería ""3 hermanos""","San Pedro el Chico, Gustavo A. Madero, 07480 Ciudad de México, CDMX, Mexico",19.4715685,-99.0980469,4.3,32.0,,
wi taco,"Cipactli 23, La Preciosa, Azcapotzalco, 02460 Ciudad de México, CDMX, Mexico",19.4868254,-99.1943227,4.6,32.0,,
"Tacos ""El padrino""","Jacarandas 10, Los Ángeles, Iztapalapa, 09830 Ciudad de México, CDMX, Mexico",19.3455268,-99.0696412,4.7,32.0,PRICE_LEVEL_INEXPENSIVE,
Tacos Los Campechanos,"Avenida Año de Juárez y calle 12, Granjas San Antonio, Iztapalapa, 09070 Ciudad de México, CDMX, Mexico",19.3687101,-99.1052859,4.6,32.0,,
Taquería bambam,"San Juan de Los Lagos, San Felipe de Jesús, Gustavo A. Madero, 07510 Ciudad de México, CDMX, Mexico",19.498549900000004,-99.0755957,4.2,32.0,,
Parrilla Leon,"Av. John F. Kennedy 5 B, Emiliano Zapata 2da Secc, 55270 Ecatepec de Morelos, Méx., Mexico",19.5049013,-99.0651344,5.0,32.0,,https://www.tiktok.com/@ivan.hernndez7576
"Carnitas y tacos ""El Veneno 2""","Peñón de los Baños, Venustiano Carranza, 15510 Ciudad de México, CDMX, Mexico",19.4423957,-99.078729,4.7,32.0,,
Tacos El Exceso,"Ote 249-A 33, Agrícola Oriental, Iztacalco, 08500 Ciudad de México, CDMX, Mexico",19.3990274,-99.0666613,4.5,32.0,,https://instagram.com/taqueriaelexceso?igshid=MzNlNGNkZWQ4Mg==
Tacos Doña Petra,"Humberto G. Tamayo 36, Cabeza de Juárez X, Iztapalapa, 09208 Ciudad de México, CDMX, Mexico",19.3763252,-99.0457854,4.6,32.0,,
TAQUERIA LOS 3 AMIGOS SM,"07340, Escuadron 201 312, La Laguna Ticoman, Gustavo A. Madero, 07330 Ciudad de México, CDMX, Mexico",19.5158456,-99.1346718,4.2,32.0,,
Mr. Taco & Salads,"Chedraui - Ajusco, Carr. Picacho-Ajusco 175, Equipamiento Periférico Picacho Ajusco Canal 13, Tlalpan, 14200 Ciudad de México, CDMX, Mexico",19.2989117,-99.211899,2.5,31.0,,
"Postres ""El Capricho""","Av. Guerra de Reforma 955, Leyes de Reforma 3ra Secc, Iztapalapa, 09310 Ciudad de México, CDMX, Mexico",19.3753763,-99.0703428,4.5,31.0,,
Tacos De Rio Mayo,"Río Mayo s/n, entre plaza Cantaritos y plaza Tepozan, Dr Alfonso Ortiz Tirado, Iztapalapa, 09020 Ciudad de México, CDMX, Mexico",19.3876497,-99.0803516,4.2,31.0,,
Tacos Don Guille,"Gobernador Rafael M. Hidalgo 69-Local 6, Granjas Valle de Guadalupe, 55270 Ecatepec de Morelos, Méx., Mexico",19.5062179,-99.05663450000002,4.3,31.0,,
Taqueria Bigotes,"San Felipe de Jesús Nte, Gustavo A. Madero, 07510 Mexico City, CDMX, Mexico",19.4978842,-99.0700302,4.5,31.0,,
Carnitas El Michoacano,"Av. Acueducto 797, San Pedro Zacatenco, Gustavo A. Madero, 07360 Ciudad de México, CDMX, Mexico",19.5062605,-99.1220495,3.8,31.0,,
Tacos El Conejo,"C. José Trinidad Salgado, Juan Escutia, Iztapalapa, 09100 Ciudad de México, CDMX, Mexico",19.3964103,-99.0495507,4.3,31.0,,
